1-й Волоколамский проезд;1-й Волоколамский пр.
1-й Волоколамский проезд;Почта
улица Усиевича;2-й Балтийский пер.
улица Усиевича;Ленинградский рынок - К/т Баку
Планетная улица;4-я ул. 8-го Марта
Планетная улица;1-я ул. 8-го Марта
Флотская улица;Поликлиника
Флотская улица;Смольная ул.
Авангардная улица;Пулковская ул.
Петровско-Разумовская аллея;Петровско-Разумовская аллея
Планетная улица;1-я ул. 8-го Марта
Планетная улица;4-я ул. 8-го Марта
Часовая улица;Ленинградский рынок - К/т Баку
Часовая улица;Университет Путей сообщения
Часовая улица;1-й Балтийский пер.
1-й Волоколамский проезд;Почта
1-й Волоколамский проезд;1-й Волоколамский пр.
2-й Пехотный переулок;2-й Пехотный пер.
Пехотная улица;52-я гор. б-ца
Сосновая улица;Детский сад
Сосновая улица;Сосновая ул.
улица Академика Курчатова;1-й Пехотный пер.
Авангардная улица;Пулковская ул.
Флотская улица;Флотская ул., 36
Флотская улица;Поликлиника
Флотская улица;Школа № 648
Флотская улица;Флотская ул.
Солнечногорская улица;Солнечногорская ул.
Сенежская улица;Сенежская ул.,1 - Торговое училище
Бескудниковский бульвар;Ин-т Цветметавтоматика
Бескудниковский бульвар;Ин-т Цветметавтоматика
Онежская улица;3-й Лихачевский пер.
Лихоборская набережная;Нарвская ул. - Университет Гражданской Авиации
Лихоборская набережная;Акад. Туризма
Лихоборская набережная;Лихоборская наб.
Солнечногорская улица;Солнечногорская ул.,15 - Торговое училище
Солнечногорская улица;Солнечногорская ул.,15 - Торговое училище
Лихоборская набережная;Лихоборская наб.
Лихоборская набережная;Акад. Туризма
Лихоборская набережная;Нарвская ул. - Университет Гражданской Авиации
Михалковская улица;Пр. Черепановых
Михалковская улица;Соболевский пр.
улица Прянишникова;К/т Байкал
улица Прянишникова;Университет Печати
Тимирязевская улица;Тимирязевская академия
Тимирязевская улица;Пасечная ул.
Тимирязевская улица;Парк Дубки
улица Вучетича;50-я гор. б-ца
улица Вучетича;Пр. Соломенной Сторожки
Тимирязевская улица;Дмитровский пр.
2-я Хуторская улица;Всероссийское Общество Слепых
Петровско-Разумовский проезд;2-я Хуторская ул.
Петровско-Разумовский проезд;Писцовая ул.
Петровско-Разумовский проезд;Петровско-Разумовский пр.
Петровско-Разумовский проезд;Петровско-Разумовский пр.
Петровско-Разумовский проезд;Писцовая ул.
Петровско-Разумовский проезд;2-я Хуторская ул.
2-я Хуторская улица;Всероссийское Общество Слепых
Тимирязевская улица;Дмитровский пр.
улица Вучетича;50-я гор. б-ца
Тимирязевская улица;Парк Дубки
Тимирязевская улица;Красностуденческий пр.
Тимирязевская улица;Пасечная ул.
Тимирязевская улица;Тимирязевская академия
улица Прянишникова;Университет Печати
Михалковская улица;К/т Байкал
Ижорская улица;Рыбокомбинат
Ижорская улица;Ижорская ул.
улица Лавочкина;15-й таксомоторный парк
Дмитровское шоссе;К/т Волга - Дом мебели 777
Дмитровское шоссе;Селигерская ул.
Дмитровское шоссе;7-й автобусный парк
Дмитровское шоссе;Нижн. Лихоборы
Дмитровское шоссе;434-е отделение связи
Дмитровское шоссе;Ул. Всеволода Вишневского
Бутырская улица;Метро Дмитровская
Бутырская улица;Троллейбусный з-д
Бутырская улица;Бутырская ул., 46
Бутырская улица;Савеловский вокз.
улица Бутырский Вал;2-й Лесной пер.
Новослободская улица;Ул. Сущевский Вал
Бутырская улица;Савеловский вокз.
Бутырская улица;Троллейбусный з-д
Бутырская улица;Метро Дмитровская
Дмитровское шоссе;Ул. Всеволода Вишневского
Дмитровское шоссе;434-е отделение связи
Дмитровское шоссе;К/т Комсомолец
Дмитровское шоссе;Нижн. Лихоборы
Дмитровское шоссе;7-й автобусный парк
Дмитровское шоссе;Лианозовский элмех. з-д
Дмитровское шоссе;М-н Спортмастер
Краснополянская улица;Ул. Марш. Федоренко
Херсонская улица;Херсонская ул., 32
Волоколамское шоссе;Пехотная ул.
Ленинградский проспект;Ул. Серегина
Ленинградский проспект;Путевой дворец
Михалковская улица;Соболевский пр.
Петровско-Разумовский проезд;М-н Оптика
улица Вучетича;Пр. Соломенной Сторожки
Ижорская улица;Ижорская ул.
улица Бусиновская Горка;Бусиново
Краснополянская улица;Краснополянская ул.
Ижорская улица;Ижорская ул., 6
Краснополянская улица;Ул. Марш. Федоренко
Краснополянская улица;Краснополянская ул.
улица Бусиновская Горка;Ул. Бусиновская Горка
Ижорская улица;Ижорская ул., 6
Волоколамское шоссе;Покровское-Глебово
Волоколамское шоссе;Б-ца МПС (к/ст, выс.)
Дмитровское шоссе;М-н Спортмастер
Дмитровское шоссе;Метро Тимирязевская
Бутырская улица;Бутырская ул., 46
Дмитровское шоссе;Метро Тимирязевская (пос.)
Станционная улица;К/т Рига
Станционная улица;Главный вход Ботанического сада
Ботаническая улица;Ботаническая ул., 33
Ботаническая улица;Ул. Акад. Комарова
Ботаническая улица;Ботаническая ул., 33
Сусоколовское шоссе;Главный вход Ботанического сада
улица Свободы;Тушинская ул.
Лодочная улица;Новопоселковая ул.
улица Героев Панфиловцев;НИИАТ
Коровинское шоссе;Талдомская ул.
Станционная улица;Ул. Кашенкин Луг
улица Академика Королёва;Телецентр
улица Академика Королёва;Останкинский пруд
Новомосковская улица;Экскурсионный корпус телебашни
Новомосковская улица;2-я Новоостанкинская ул.
Звёздный бульвар;Калибровская ул.
Звёздный бульвар;Звездный бульв.
Звёздный бульвар;6-й Новоостанкинский пр.
улица Цандера;Ул. Цандера
улица Кондратюка;Ул. Кондратюка
Ботаническая улица;Гост. Останкино
Новомосковская улица;Ул. Акад. Королева
проспект Мира;Метро Алексеевская
проспект Мира;Новоалексеевская ул.
проспект Мира;Новоалексеевская ул.
проспект Мира;Метро Алексеевская
проспект Мира;Староалексеевская ул.
Волоколамское шоссе;Гидропроект
Волоколамское шоссе;Авиационный и Пищевой ин-ты
Авиационная улица;Пехотная ул.
улица Цандера;Ул. Цандера
Звёздный бульвар;Звездный бульв.
Звёздный бульвар;Калибровская ул.
Новомосковская улица;2-я Новоостанкинская ул.
Новомосковская улица;Экскурсионный корпус телебашни
улица Академика Королёва;Ул. Акад. Королева
улица Академика Королёва;Останкинский пруд
улица Академика Королёва;Телецентр
Ботаническая улица;Ул. Кашенкин Луг
Ботаническая улица;Ул. Акад. Комарова
Звёздный бульвар;6-й Новоостанкинский пр.
Станционная улица;Гост. Останкино
Ленинградский проспект;Метро Динамо (южный вход)
Ленинградский проспект;Белорусский вокз.
Пушкинская площадь;Пушкинская пл.
Ленинградский проспект;Метро Динамо (южный вход)
Ленинградский проспект;Путевой дворец
Ленинградский проспект;Ул. Серегина
Ленинградский проспект;М А Д И - Финансовый университет
Волоколамское шоссе;Гидропроект
Волоколамское шоссе;Авиационный и Пищевой ин-ты
Волоколамское шоссе;Пехотная ул.
Волоколамское шоссе;Покровское-Стрешнево (пос.)
Волоколамское шоссе;Иваньковское ш.
Волоколамское шоссе;Покровское-Глебово (выс.)
Авиационная улица;Пехотная ул.
Станционная улица;Платф. Окружная
Локомотивный проезд;Ин-т Стройфизики
Красностуденческий проезд;Гост. Молодежная
Красностуденческий проезд;М-н Оптика
Тимирязевская улица;Красностуденческий пр.
улица Василия Петушкова;17-й таксомоторный парк
улица Василия Петушкова;Спортшкола
Светлогорский проезд;Школа № 821
улица Героев Панфиловцев;Детская б-ца № 7
улица Героев Панфиловцев;Планерная ул.
улица Героев Панфиловцев;Планерная ул.
улица Героев Панфиловцев;НИИАТ
Тимирязевская улица;Тимирязевская ул., 30
Тимирязевская улица;Префектура САО
Тимирязевская улица;Театр Золотое кольцо
Коровинское шоссе;Плодоовощная база
Коровинское шоссе;Плодоовощная база
улица Берзарина;Ул. Берзарина, 32
улица Расплетина;Ин-т Приборостроения
улица Расплетина;Комбинат бытового обслуживания
улица Расплетина;Поликлиника
улица Расплетина;Поликлиника
улица Расплетина;Комбинат бытового обслуживания
улица Маршала Федоренко;Ул. Марш. Федоренко, 2
улица Маршала Федоренко;Универсам
улица Маршала Федоренко;Универсам
улица Маршала Федоренко;Ул. Марш. Федоренко, 2
улица Бусиновская Горка;Бусиново (к/ст, выс.)
Новолужнецкий проезд;Стадион Лужники (южн.) (пос.)
Новолужнецкий проезд;Спортзал Дружба
Лужнецкая набережная;Лужнецкая наб.
Лужнецкий проезд;Новодевичье кладб.
Большая Пироговская улица;Абрикосовский пер.
улица Плющиха;Д/к Каучук
улица Хамовнический Вал;Ул. Хамовнический вал, 2
улица Хамовнический Вал;Комсомольский просп.
Смоленский бульвар;Смоленская пл.
Новинский бульвар;Дом Шаляпина
улица Красная Пресня;М. Грузинская ул.
улица 1905 Года;Ваганьково
Хорошёвское шоссе;Издательский дом Красная звезда
Хорошёвское шоссе;5-я Магистральная ул.
Хорошёвское шоссе;Хладокомбинат № 7
Хорошёвское шоссе;Хладокомбинат № 7
улица 1905 Года;Ваганьково
улица 1905 Года;Метро Ул. 1905 года (сев.) - Трансагентство
улица Расплетина;Ин-т Приборостроения
улица Берзарина;Ул. Берзарина, 32
Авангардная улица;Авангардная ул., 15
Авангардная улица;Авангардная ул., 15
Волоколамское шоссе;Канал им. Москвы
Волоколамское шоссе;Клуб им. Чкалова
Волоколамское шоссе;Сходненский тупик
Волоколамское шоссе;15-й автобусный парк
Волоколамское шоссе;Акад. Коммунального хоз-ва
улица Героев Панфиловцев;Детская б-ца № 7
Светлогорский проезд;Школа № 821
улица Василия Петушкова;Спортшкола
улица Василия Петушкова;17-й таксомоторный парк
Волоколамское шоссе;Акад. Коммунального хоз-ва
Волоколамское шоссе;15-й автобусный парк
Волоколамское шоссе;Сходненский тупик
Волоколамское шоссе;Клуб им. Чкалова
Волоколамское шоссе;Канал им. Москвы
Башиловская улица;Башиловская ул. - Гор. б-ца № 24
улица Расковой;Ул. Марины Расковой
5-я улица Ямского Поля;5-я ул. Ямского Поля
5-я улица Ямского Поля;Издательство Пресса
1-я улица Ямского Поля;1-я ул. Ямского Поля
1-я улица Ямского Поля;3-я ул. Ямского Поля
улица Расковой;М-н Свет
улица Расковой;5-я ул. Ямского Поля
улица Нижняя Масловка;К/т Прага
улица Нижняя Масловка;Вятская ул.
Башиловская улица;Бутырский рынок
Башиловская улица;Башиловская ул. - Гор. б-ца № 24
улица Красная Пресня;М. Грузинская ул.
улица Плющиха;Ружейный пер.
улица Плющиха;Стадион Буревестник
улица Еланского;Д/к Каучук
Большая Пироговская улица;Трубецкая ул.
Большая Пироговская улица;Абрикосовский пер.
Лужнецкий проезд;Новодевичье кладб.
улица Хамовнический Вал;Комсомольский просп.
улица Хамовнический Вал;Ул. Хамовнический вал, 2
Лужнецкая набережная;Лужнецкая наб.
Новолужнецкий проезд;Спортзал Дружба
Петровско-Разумовская аллея;Петровско-Разумовская аллея
Петровско-Разумовская аллея;Планетная ул.
Старый Петровско-Разумовский проезд;Ул. Верхн. Масловка
Старый Петровско-Разумовский проезд;Швейное объединение Вымпел
Ленинградское шоссе;Метро Войковская (пос.)
улица Бутырский Вал;Новослободская ул.
улица Сущёвский Вал;Ул. Двинцев
улица Сущёвский Вал;Ул. Сущевский Вал, 46
улица Сущёвский Вал;Метро Марьина Роща
улица Свободы;Восточный мост
улица Свободы;Д/к Салют
улица Свободы;Ул. Фабрициуса
улица Свободы;Парусный пр.
Тимирязевская улица;Префектура САО
Красностуденческий проезд;М-н Оптика
3-й Нижнелихоборский проезд;Локомотивный пр. - Платф. Окружная
улица Исаковского;3-й мкр. Строгина (пос.)
улица Исаковского;Аллея Дорога Жизни
улица Маршала Катукова;Универсам
Рублёвское шоссе;МКАД
Рублёвское шоссе;Черепково
Рублёвское шоссе;ЦКБ
Рублёвское шоссе;ЦКБ
Рублёвское шоссе;Черепково
улица Кулакова;Строгинский бульв.
улица Маршала Катукова;Универсам
улица Исаковского;Аллея Дорога Жизни
улица Исаковского;3-й мкр. Строгина (выс.)
Башиловская улица;2-я Хуторская ул.
Башиловская улица;1-я Хуторская ул.
Башиловская улица;4-й Вятский пер.
2-я Квесисская улица;Бутырский рынок
2-я Квесисская улица;Бутырская ул.
улица Нижняя Масловка;К/т Прага
Башиловская улица;4-й Вятский пер.
Мякининский проезд;Неманский пр., 11
2-й Крестовский переулок;Знаменский храм
Рижская площадь;Рижский вокз. (пос.)
улица Сущёвский Вал;Олимпийский просп.
улица Сущёвский Вал;Метро Марьина Роща
улица Сущёвский Вал;Метро Марьина Роща
улица Сущёвский Вал;Ул. Образцова
улица Сущёвский Вал;Мебельная ф-ка
улица Сущёвский Вал;Олимпийский просп.
бульвар Яна Райниса;Бульв. Яна Райниса, 20
бульвар Яна Райниса;Туристская ул.
бульвар Яна Райниса;Аэродромная ул.
Химкинский бульвар;Метро Сходненская
Химкинский бульвар;Химкинский бульв.
улица Свободы;Универсам
улица Свободы;Парусный пр.
улица Свободы;Ул. Фабрициуса (пос.)
улица Свободы;Д/к Салют
улица Свободы;Восточный мост
Ленинградский проспект;Метро Динамо
улица Нижняя Масловка;Вятская ул.
Херсонская улица;Севастопольский просп., 81
4-й Вятский переулок;4-й Вятский пер.
4-й Вятский переулок;Полтавская ул. - Пенсионный фонд
4-й Вятский переулок;8-я гор. б-ца
Старый Петровско-Разумовский проезд;Швейное объединение Вымпел
Старый Петровско-Разумовский проезд;Ул. Верхн. Масловка
Петровско-Разумовская аллея;Планетная ул.
Химкинский бульвар;Универсам
Химкинский бульвар;Химкинский бульв.
бульвар Яна Райниса;Метро Сходненская
